"league_name","season","team_long_name","avg_team_rating_pro_season","last_season_rating","points_in_season","points_in_last_season"
France Ligue 1,"2015/2016",LOSC Lille,71.75,73.85,60,56
France Ligue 1,"2008/2009",Le Havre AC,68.42,,26,
France Ligue 1,"2008/2009",Le Mans FC,70.73,,40,
France Ligue 1,"2009/2010",Le Mans FC,68.74,70.73,32,40
France Ligue 1,"2009/2010",Montpellier Hérault SC,71.59,,69,
France Ligue 1,"2010/2011",Montpellier Hérault SC,72.51,71.59,47,69
France Ligue 1,"2011/2012",Montpellier Hérault SC,74.06,72.51,82,47
France Ligue 1,"2012/2013",Montpellier Hérault SC,73.08,74.06,52,82
France Ligue 1,"2013/2014",Montpellier Hérault SC,71.93,73.08,42,52
France Ligue 1,"2014/2015",Montpellier Hérault SC,72.58,71.93,56,42
France Ligue 1,"2015/2016",Montpellier Hérault SC,71.66,72.58,49,56
France Ligue 1,"2008/2009",OGC Nice,70.69,,50,
France Ligue 1,"2009/2010",OGC Nice,71.53,70.69,44,50
France Ligue 1,"2010/2011",OGC Nice,72.05,71.53,46,44
France Ligue 1,"2011/2012",OGC Nice,72.03,72.05,42,46
France Ligue 1,"2012/2013",OGC Nice,71.53,72.03,64,42
France Ligue 1,"2013/2014",OGC Nice,71.76,71.53,42,64
France Ligue 1,"2014/2015",OGC Nice,70.29,71.76,48,42
France Ligue 1,"2015/2016",OGC Nice,72.49,70.29,63,48
France Ligue 1,"2008/2009",Olympique Lyonnais,76.68,,71,
France Ligue 1,"2009/2010",Olympique Lyonnais,77.47,76.68,72,71
France Ligue 1,"2010/2011",Olympique Lyonnais,77.44,77.47,64,72
France Ligue 1,"2011/2012",Olympique Lyonnais,76.59,77.44,64,64
France Ligue 1,"2012/2013",Olympique Lyonnais,75.18,76.59,67,64
France Ligue 1,"2013/2014",Olympique Lyonnais,74.22,75.18,61,67
France Ligue 1,"2014/2015",Olympique Lyonnais,73.86,74.22,75,61
France Ligue 1,"2015/2016",Olympique Lyonnais,75.76,73.86,65,75
France Ligue 1,"2008/2009",Olympique de Marseille,75.04,,77,
France Ligue 1,"2009/2010",Olympique de Marseille,76.95,75.04,78,77
France Ligue 1,"2010/2011",Olympique de Marseille,77.1,76.95,68,78
France Ligue 1,"2011/2012",Olympique de Marseille,76.47,77.1,48,68
France Ligue 1,"2012/2013",Olympique de Marseille,75.89,76.47,71,48
France Ligue 1,"2013/2014",Olympique de Marseille,75.27,75.89,60,71
France Ligue 1,"2014/2015",Olympique de Marseille,75.23,75.27,69,60
France Ligue 1,"2015/2016",Olympique de Marseille,74.73,75.23,48,69
France Ligue 1,"2008/2009",Paris Saint-Germain,74.19,,64,
France Ligue 1,"2009/2010",Paris Saint-Germain,73.75,74.19,47,64
France Ligue 1,"2010/2011",Paris Saint-Germain,75.06,73.75,60,47
France Ligue 1,"2011/2012",Paris Saint-Germain,77.02,75.06,79,60
France Ligue 1,"2012/2013",Paris Saint-Germain,78.35,77.02,83,79
France Ligue 1,"2013/2014",Paris Saint-Germain,79.1,78.35,89,83
France Ligue 1,"2014/2015",Paris Saint-Germain,78.81,79.1,83,89
France Ligue 1,"2015/2016",Paris Saint-Germain,78.33,78.81,96,83
France Ligue 1,"2009/2010",RC Lens,69.58,,48,
France Ligue 1,"2010/2011",RC Lens,69.62,69.58,35,48
France Ligue 1,"2014/2015",RC Lens,68.85,69.62,29,35
France Ligue 1,"2012/2013",SC Bastia,70.39,,47,
France Ligue 1,"2013/2014",SC Bastia,71.7,70.39,46,47
France Ligue 1,"2014/2015",SC Bastia,71.13,71.7,47,46
France Ligue 1,"2015/2016",SC Bastia,70.44,71.13,50,47
France Ligue 1,"2008/2009",SM Caen,70.72,,37,
France Ligue 1,"2010/2011",SM Caen,69.82,70.72,46,37
France Ligue 1,"2011/2012",SM Caen,70.43,69.82,38,46
France Ligue 1,"2014/2015",SM Caen,70.08,70.43,46,38
France Ligue 1,"2015/2016",SM Caen,71.64,70.08,54,46
France Ligue 1,"2010/2011",Stade Brestois 29,70.18,,46,
France Ligue 1,"2011/2012",Stade Brestois 29,70.87,70.18,41,46
France Ligue 1,"2012/2013",Stade Brestois 29,69.88,70.87,29,41
France Ligue 1,"2008/2009",Stade Rennais FC,73.24,,61,
France Ligue 1,"2009/2010",Stade Rennais FC,74.2,73.24,53,61
France Ligue 1,"2010/2011",Stade Rennais FC,71.58,74.2,56,53
France Ligue 1,"2011/2012",Stade Rennais FC,73.46,71.58,60,56
France Ligue 1,"2012/2013",Stade Rennais FC,73.84,73.46,46,60
France Ligue 1,"2013/2014",Stade Rennais FC,72.99,73.84,46,46
France Ligue 1,"2014/2015",Stade Rennais FC,73.18,72.99,50,46
France Ligue 1,"2015/2016",Stade Rennais FC,72.3,73.18,52,50
France Ligue 1,"2012/2013",Stade de Reims,70.28,,43,
France Ligue 1,"2013/2014",Stade de Reims,71.1,70.28,48,43
France Ligue 1,"2014/2015",Stade de Reims,71.31,71.1,44,48
France Ligue 1,"2015/2016",Stade de Reims,71.87,71.31,39,44
France Ligue 1,"2008/2009",Toulouse FC,72.38,,64,
France Ligue 1,"2009/2010",Toulouse FC,72.97,72.38,47,64
France Ligue 1,"2010/2011",Toulouse FC,73.06,72.97,50,47
France Ligue 1,"2011/2012",Toulouse FC,72.95,73.06,56,50
France Ligue 1,"2012/2013",Toulouse FC,72.77,72.95,51,56
France Ligue 1,"2013/2014",Toulouse FC,72.02,72.77,49,51
France Ligue 1,"2014/2015",Toulouse FC,71.97,72.02,42,49
France Ligue 1,"2015/2016",Toulouse FC,72.11,71.97,40,42
France Ligue 1,"2009/2010",US Boulogne Cote D'Opale,67.67,,31,
France Ligue 1,"2008/2009",Valenciennes FC,71.11,,44,
France Ligue 1,"2009/2010",Valenciennes FC,70.87,71.11,52,44
France Ligue 1,"2010/2011",Valenciennes FC,71.45,70.87,48,52
France Ligue 1,"2011/2012",Valenciennes FC,71.46,71.45,43,48
France Ligue 1,"2012/2013",Valenciennes FC,71.38,71.46,48,43
France Ligue 1,"2013/2014",Valenciennes FC,69.92,71.38,29,48
France Ligue 1,"2011/2012",Évian Thonon Gaillard FC,69.82,,50,
France Ligue 1,"2012/2013",Évian Thonon Gaillard FC,71.1,69.82,40,50
France Ligue 1,"2013/2014",Évian Thonon Gaillard FC,70.41,71.1,44,40
France Ligue 1,"2014/2015",Évian Thonon Gaillard FC,70.49,70.41,37,44
Germany 1. Bundesliga,"2010/2011","1. FC Kaiserslautern",71.32,,46,
Germany 1. Bundesliga,"2011/2012","1. FC Kaiserslautern",71.04,71.32,23,46
Germany 1. Bundesliga,"2008/2009","1. FC Köln",72.07,,39,
Germany 1. Bundesliga,"2009/2010","1. FC Köln",74.43,72.07,38,39
Germany 1. Bundesliga,"2010/2011","1. FC Köln",73.72,74.43,44,38
Germany 1. Bundesliga,"2011/2012","1. FC Köln",74.08,73.72,30,44
Germany 1. Bundesliga,"2014/2015","1. FC Köln",73.15,74.08,40,30
Germany 1. Bundesliga,"2015/2016","1. FC Köln",74.61,73.15,43,40
Germany 1. Bundesliga,"2009/2010","1. FC Nürnberg",71.62,,31,
Germany 1. Bundesliga,"2010/2011","1. FC Nürnberg",71.98,71.62,47,31
Germany 1. Bundesliga,"2011/2012","1. FC Nürnberg",72.32,71.98,42,47
Germany 1. Bundesliga,"2012/2013","1. FC Nürnberg",73.54,72.32,44,42
Germany 1. Bundesliga,"2013/2014","1. FC Nürnberg",72.61,73.54,26,44
Germany 1. Bundesliga,"2009/2010","1. FSV Mainz 05",71.84,,47,
Germany 1. Bundesliga,"2010/2011","1. FSV Mainz 05",72.43,71.84,58,47
Germany 1. Bundesliga,"2011/2012","1. FSV Mainz 05",72.92,72.43,39,58
Germany 1. Bundesliga,"2012/2013","1. FSV Mainz 05",73.6,72.92,42,39
Germany 1. Bundesliga,"2013/2014","1. FSV Mainz 05",72.72,73.6,53,42
Germany 1. Bundesliga,"2014/2015","1. FSV Mainz 05",73.5,72.72,40,53
Germany 1. Bundesliga,"2015/2016","1. FSV Mainz 05",74.09,73.5,50,40
Germany 1. Bundesliga,"2008/2009",Bayer 04 Leverkusen,76.87,,49,
Germany 1. Bundesliga,"2009/2010",Bayer 04 Leverkusen,76.93,76.87,59,49
Germany 1. Bundesliga,"2010/2011",Bayer 04 Leverkusen,77,76.93,68,59
Germany 1. Bundesliga,"2011/2012",Bayer 04 Leverkusen,76.25,77,54,68
Germany 1. Bundesliga,"2012/2013",Bayer 04 Leverkusen,76.86,76.25,65,54
Germany 1. Bundesliga,"2013/2014",Bayer 04 Leverkusen,75.56,76.86,61,65
Germany 1. Bundesliga,"2014/2015",Bayer 04 Leverkusen,75.84,75.56,61,61
Germany 1. Bundesliga,"2015/2016",Bayer 04 Leverkusen,76.01,75.84,60,61
Germany 1. Bundesliga,"2008/2009",Borussia Dortmund,75.16,,59,
Germany 1. Bundesliga,"2009/2010",Borussia Dortmund,75.64,75.16,57,59
Germany 1. Bundesliga,"2010/2011",Borussia Dortmund,76.72,75.64,75,57
Germany 1. Bundesliga,"2011/2012",Borussia Dortmund,77.61,76.72,81,75
Germany 1. Bundesliga,"2012/2013",Borussia Dortmund,79.02,77.61,66,81
Germany 1. Bundesliga,"2013/2014",Borussia Dortmund,78.69,79.02,71,66
Germany 1. Bundesliga,"2014/2015",Borussia Dortmund,79.04,78.69,46,71
Germany 1. Bundesliga,"2015/2016",Borussia Dortmund,79.05,79.04,78,46
Germany 1. Bundesliga,"2008/2009",Borussia Mönchengladbach,73.12,,31,
Germany 1. Bundesliga,"2009/2010",Borussia Mönchengladbach,73.67,73.12,39,31
Germany 1. Bundesliga,"2010/2011",Borussia Mönchengladbach,72.91,73.67,36,39
Germany 1. Bundesliga,"2011/2012",Borussia Mönchengladbach,74.14,72.91,60,36
Germany 1. Bundesliga,"2012/2013",Borussia Mönchengladbach,74.96,74.14,47,60
Germany 1. Bundesliga,"2013/2014",Borussia Mönchengladbach,75.24,74.96,55,47
Germany 1. Bundesliga,"2014/2015",Borussia Mönchengladbach,76.4,75.24,66,55
Germany 1. Bundesliga,"2015/2016",Borussia Mönchengladbach,75.23,76.4,55,66
Germany 1. Bundesliga,"2008/2009",DSC Arminia Bielefeld,71.57,,28,
Germany 1. Bundesliga,"2013/2014",Eintracht Braunschweig,71.04,,25,
Germany 1. Bundesliga,"2008/2009",Eintracht Frankfurt,72.58,,33,
Germany 1. Bundesliga,"2009/2010",Eintracht Frankfurt,73.5,72.58,46,33
Germany 1. Bundesliga,"2010/2011",Eintracht Frankfurt,73.47,73.5,34,46
Germany 1. Bundesliga,"2012/2013",Eintracht Frankfurt,74.02,73.47,51,34
Germany 1. Bundesliga,"2013/2014",Eintracht Frankfurt,74.52,74.02,36,51
Germany 1. Bundesliga,"2014/2015",Eintracht Frankfurt,74.32,74.52,43,36
Germany 1. Bundesliga,"2015/2016",Eintracht Frankfurt,74.35,74.32,36,43
Germany 1. Bundesliga,"2011/2012",FC Augsburg,70.74,,38,
Germany 1. Bundesliga,"2012/2013",FC Augsburg,71.61,70.74,33,38
Germany 1. Bundesliga,"2013/2014",FC Augsburg,72.17,71.61,52,33
Germany 1. Bundesliga,"2014/2015",FC Augsburg,73.69,72.17,49,52
Germany 1. Bundesliga,"2015/2016",FC Augsburg,74,73.69,38,49
Germany 1. Bundesliga,"2008/2009",FC Bayern Munich,79.52,,67,
Germany 1. Bundesliga,"2009/2010",FC Bayern Munich,78.39,79.52,70,67
Germany 1. Bundesliga,"2010/2011",FC Bayern Munich,78.9,78.39,65,70
Germany 1. Bundesliga,"2011/2012",FC Bayern Munich,80.21,78.9,73,65
Germany 1. Bundesliga,"2012/2013",FC Bayern Munich,80.33,80.21,91,73
Germany 1. Bundesliga,"2013/2014",FC Bayern Munich,80.83,80.33,90,91
Germany 1. Bundesliga,"2014/2015",FC Bayern Munich,80.72,80.83,79,90
Germany 1. Bundesliga,"2015/2016",FC Bayern Munich,81.11,80.72,88,79
Germany 1. Bundesliga,"2008/2009",FC Energie Cottbus,71.09,,30,
Germany 1. Bundesliga,"2015/2016",FC Ingolstadt 04,71.82,,40,
Germany 1. Bundesliga,"2008/2009",FC Schalke 04,77.64,,50,
Germany 1. Bundesliga,"2009/2010",FC Schalke 04,76.46,77.64,65,50
Germany 1. Bundesliga,"2010/2011",FC Schalke 04,76.15,76.46,40,65
Germany 1. Bundesliga,"2011/2012",FC Schalke 04,75.4,76.15,64,40
Germany 1. Bundesliga,"2012/2013",FC Schalke 04,76.31,75.4,55,64
Germany 1. Bundesliga,"2013/2014",FC Schalke 04,75.25,76.31,64,55
Germany 1. Bundesliga,"2014/2015",FC Schalke 04,75.35,75.25,48,64
Germany 1. Bundesliga,"2015/2016",FC Schalke 04,75.93,75.35,52,48
Germany 1. Bundesliga,"2010/2011",FC St. Pauli,70.33,,29,
Germany 1. Bundesliga,"2012/2013",Fortuna Düsseldorf,70.73,,30,
Germany 1. Bundesliga,"2008/2009",Hamburger SV,76.17,,61,
Germany 1. Bundesliga,"2009/2010",Hamburger SV,76.44,76.17,52,61
Germany 1. Bundesliga,"2010/2011",Hamburger SV,76.08,76.44,45,52
Germany 1. Bundesliga,"2011/2012",Hamburger SV,74.69,76.08,36,45
Germany 1. Bundesliga,"2012/2013",Hamburger SV,75.34,74.69,48,36
Germany 1. Bundesliga,"2013/2014",Hamburger SV,74.69,75.34,27,48
Germany 1. Bundesliga,"2014/2015",Hamburger SV,75.03,74.69,35,27
Germany 1. Bundesliga,"2015/2016",Hamburger SV,74.42,75.03,41,35
Germany 1. Bundesliga,"2008/2009",Hannover 96,73.46,,40,
Germany 1. Bundesliga,"2009/2010",Hannover 96,72.92,73.46,33,40
Germany 1. Bundesliga,"2010/2011",Hannover 96,73.26,72.92,60,33
Germany 1. Bundesliga,"2011/2012",Hannover 96,74.64,73.26,48,60
Germany 1. Bundesliga,"2012/2013",Hannover 96,74.64,74.64,45,48
Germany 1. Bundesliga,"2013/2014",Hannover 96,74.07,74.64,42,45
Germany 1. Bundesliga,"2014/2015",Hannover 96,74.46,74.07,37,42
Germany 1. Bundesliga,"2015/2016",Hannover 96,73.84,74.46,25,37
Germany 1. Bundesliga,"2008/2009",Hertha BSC Berlin,74.79,,63,
Germany 1. Bundesliga,"2009/2010",Hertha BSC Berlin,74.34,74.79,24,63
Germany 1. Bundesliga,"2011/2012",Hertha BSC Berlin,72.62,74.34,31,24
Germany 1. Bundesliga,"2013/2014",Hertha BSC Berlin,73.53,72.62,41,31
Germany 1. Bundesliga,"2014/2015",Hertha BSC Berlin,74.74,73.53,35,41
Germany 1. Bundesliga,"2015/2016",Hertha BSC Berlin,74.66,74.74,50,35
Germany 1. Bundesliga,"2008/2009",Karlsruher SC,71.56,,29,
Germany 1. Bundesliga,"2009/2010",SC Freiburg,71.02,,35,
Germany 1. Bundesliga,"2010/2011",SC Freiburg,71.49,71.02,44,35
Germany 1. Bundesliga,"2011/2012",SC Freiburg,72.06,71.49,40,44
Germany 1. Bundesliga,"2012/2013",SC Freiburg,73.51,72.06,51,40
Germany 1. Bundesliga,"2013/2014",SC Freiburg,72.42,73.51,36,51
Germany 1. Bundesliga,"2014/2015",SC Freiburg,72.73,72.42,34,36
Germany 1. Bundesliga,"2014/2015",SC Paderborn 07,70.53,,31,
Germany 1. Bundesliga,"2015/2016",SV Darmstadt 98,71.4,,38,
Germany 1. Bundesliga,"2008/2009",SV Werder Bremen,76.85,,45,
Germany 1. Bundesliga,"2009/2010",SV Werder Bremen,77.51,76.85,61,45
Germany 1. Bundesliga,"2010/2011",SV Werder Bremen,75.49,77.51,41,61
Germany 1. Bundesliga,"2011/2012",SV Werder Bremen,74.56,75.49,42,41
Germany 1. Bundesliga,"2012/2013",SV Werder Bremen,74.7,74.56,34,42
Germany 1. Bundesliga,"2013/2014",SV Werder Bremen,73.69,74.7,39,34
Germany 1. Bundesliga,"2014/2015",SV Werder Bremen,72.79,73.69,43,39
Germany 1. Bundesliga,"2015/2016",SV Werder Bremen,73.42,72.79,38,43
Germany 1. Bundesliga,"2012/2013",SpVgg Greuther Fürth,70.72,,21,
Germany 1. Bundesliga,"2008/2009",TSG 1899 Hoffenheim,72.34,,55,
Germany 1. Bundesliga,"2009/2010",TSG 1899 Hoffenheim,75.74,72.34,42,55
Germany 1. Bundesliga,"2010/2011",TSG 1899 Hoffenheim,74.17,75.74,43,42
Germany 1. Bundesliga,"2011/2012",TSG 1899 Hoffenheim,74.24,74.17,41,43
Germany 1. Bundesliga,"2012/2013",TSG 1899 Hoffenheim,74.09,74.24,31,41
Germany 1. Bundesliga,"2013/2014",TSG 1899 Hoffenheim,73.52,74.09,44,31
Germany 1. Bundesliga,"2014/2015",TSG 1899 Hoffenheim,74.8,73.52,44,44
Germany 1. Bundesliga,"2015/2016",TSG 1899 Hoffenheim,74.71,74.8,37,44
Germany 1. Bundesliga,"2008/2009",VfB Stuttgart,75.59,,64,
Germany 1. Bundesliga,"2009/2010",VfB Stuttgart,75.56,75.59,55,64
Germany 1. Bundesliga,"2010/2011",VfB Stuttgart,74.65,75.56,42,55
Germany 1. Bundesliga,"2011/2012",VfB Stuttgart,74.99,74.65,53,42
Germany 1. Bundesliga,"2012/2013",VfB Stuttgart,74.72,74.99,43,53
Germany 1. Bundesliga,"2013/2014",VfB Stuttgart,73.85,74.72,32,43
Germany 1. Bundesliga,"2014/2015",VfB Stuttgart,73.54,73.85,36,32
Germany 1. Bundesliga,"2015/2016",VfB Stuttgart,74.3,73.54,33,36
Germany 1. Bundesliga,"2008/2009",VfL Bochum,72.89,,32,
Germany 1. Bundesliga,"2009/2010",VfL Bochum,72.58,72.89,28,32
Germany 1. Bundesliga,"2008/2009",VfL Wolfsburg,75.87,,69,
Germany 1. Bundesliga,"2009/2010",VfL Wolfsburg,76.77,75.87,50,69
Germany 1. Bundesliga,"2010/2011",VfL Wolfsburg,76.48,76.77,38,50
Germany 1. Bundesliga,"2011/2012",VfL Wolfsburg,75.03,76.48,44,38
Germany 1. Bundesliga,"2012/2013",VfL Wolfsburg,75.72,75.03,43,44
Germany 1. Bundesliga,"2013/2014",VfL Wolfsburg,75.55,75.72,60,43
Germany 1. Bundesliga,"2014/2015",VfL Wolfsburg,77.43,75.55,69,60
Germany 1. Bundesliga,"2015/2016",VfL Wolfsburg,77.76,77.43,45,69
Italy Serie A,"2008/2009",Atalanta,74.21,,47,
Italy Serie A,"2009/2010",Atalanta,73.92,74.21,35,47
Italy Serie A,"2011/2012",Atalanta,73.89,73.92,50,35
Italy Serie A,"2012/2013",Atalanta,74.6,73.89,42,50
Italy Serie A,"2013/2014",Atalanta,74.53,74.6,50,42
Italy Serie A,"2014/2015",Atalanta,73.02,74.53,37,50
Italy Serie A,"2015/2016",Atalanta,73.69,73.02,45,37
Italy Serie A,"2009/2010",Bari,73.07,,50,
Italy Serie A,"2010/2011",Bari,72.44,73.07,24,50
Italy Serie A,"2008/2009",Bologna,71.51,,37,
Italy Serie A,"2009/2010",Bologna,72.55,71.51,42,37
Italy Serie A,"2010/2011",Bologna,72.71,72.55,45,42
Italy Serie A,"2011/2012",Bologna,73.86,72.71,44,45
Italy Serie A,"2012/2013",Bologna,74.41,73.86,44,44
Italy Serie A,"2013/2014",Bologna,73.46,74.41,29,44
Italy Serie A,"2015/2016",Bologna,72.53,73.46,42,29
Italy Serie A,"2010/2011",Brescia,72.72,,32,
Italy Serie A,"2008/2009",Cagliari,74.43,,53,
Italy Serie A,"2009/2010",Cagliari,74.81,74.43,44,53
Italy Serie A,"2010/2011",Cagliari,73.58,74.81,45,44
Italy Serie A,"2011/2012",Cagliari,74.95,73.58,40,45
Italy Serie A,"2012/2013",Cagliari,75.03,74.95,47,40
Italy Serie A,"2013/2014",Cagliari,74.37,75.03,39,47
Italy Serie A,"2014/2015",Cagliari,72.81,74.37,34,39
Italy Serie A,"2015/2016",Carpi,71.3,,38,
Italy Serie A,"2008/2009",Catania,73.43,,43,
Italy Serie A,"2009/2010",Catania,74.07,73.43,45,43
Italy Serie A,"2010/2011",Catania,74.1,74.07,46,45
Italy Serie A,"2011/2012",Catania,74.32,74.1,42,46
Italy Serie A,"2012/2013",Catania,74.88,74.32,56,42
Italy Serie A,"2013/2014",Catania,73.27,74.88,32,56
Italy Serie A,"2010/2011",Cesena,72.22,,43,
Italy Serie A,"2011/2012",Cesena,73.8,72.22,20,43
Italy Serie A,"2014/2015",Cesena,70.17,73.8,24,20
Italy Serie A,"2008/2009",Chievo Verona,73.02,,38,
Italy Serie A,"2009/2010",Chievo Verona,73.45,73.02,44,38
Italy Serie A,"2010/2011",Chievo Verona,73.74,73.45,46,44
Italy Serie A,"2011/2012",Chievo Verona,74.15,73.74,46,46
Italy Serie A,"2012/2013",Chievo Verona,74.43,74.15,45,46
Italy Serie A,"2013/2014",Chievo Verona,73.57,74.43,36,45
Italy Serie A,"2014/2015",Chievo Verona,73.48,73.57,43,36
Italy Serie A,"2015/2016",Chievo Verona,73.6,73.48,50,43
Italy Serie A,"2014/2015",Empoli,71.91,,42,
Italy Serie A,"2015/2016",Empoli,72.71,71.91,46,42
Italy Serie A,"2008/2009",Fiorentina,78.67,,68,
Italy Serie A,"2009/2010",Fiorentina,77.72,78.67,47,68
Italy Serie A,"2010/2011",Fiorentina,76.38,77.72,51,47
Italy Serie A,"2011/2012",Fiorentina,76.12,76.38,42,51
Italy Serie A,"2012/2013",Fiorentina,77.83,76.12,70,42
Italy Serie A,"2013/2014",Fiorentina,77.64,77.83,65,70
Italy Serie A,"2014/2015",Fiorentina,76.29,77.64,64,65
Italy Serie A,"2015/2016",Fiorentina,75.8,76.29,64,64
Italy Serie A,"2015/2016",Frosinone,69.13,,31,
Italy Serie A,"2008/2009",Genoa,75.93,,68,
Italy Serie A,"2009/2010",Genoa,76.07,75.93,51,68
Italy Serie A,"2010/2011",Genoa,76.06,76.07,51,51
Italy Serie A,"2011/2012",Genoa,75.79,76.06,40,51
Italy Serie A,"2012/2013",Genoa,74.65,75.79,38,40
Italy Serie A,"2013/2014",Genoa,73.74,74.65,44,38
Italy Serie A,"2014/2015",Genoa,74.16,73.74,59,44
Italy Serie A,"2015/2016",Genoa,73.75,74.16,46,59
Italy Serie A,"2013/2014",Hellas Verona,72.54,,54,
Italy Serie A,"2014/2015",Hellas Verona,72.45,72.54,46,54
Italy Serie A,"2015/2016",Hellas Verona,72.2,72.45,28,46
Italy Serie A,"2008/2009",Inter,81.31,,84,
Italy Serie A,"2009/2010",Inter,81.79,81.31,82,84
Italy Serie A,"2010/2011",Inter,80.58,81.79,76,82
Italy Serie A,"2011/2012",Inter,80.03,80.58,57,76
Italy Serie A,"2012/2013",Inter,78.06,80.03,54,57
Italy Serie A,"2013/2014",Inter,77.52,78.06,60,54
Italy Serie A,"2014/2015",Inter,76.65,77.52,55,60
Italy Serie A,"2015/2016",Inter,77.49,76.65,67,55
Italy Serie A,"2008/2009",Juventus,79.56,,74,
Italy Serie A,"2009/2010",Juventus,79.4,79.56,55,74
Italy Serie A,"2010/2011",Juventus,78.13,79.4,58,55
Italy Serie A,"2011/2012",Juventus,79.72,78.13,79,58
Italy Serie A,"2012/2013",Juventus,79.94,79.72,87,79
Italy Serie A,"2013/2014",Juventus,80.57,79.94,102,87
Italy Serie A,"2014/2015",Juventus,79.84,80.57,87,102
Italy Serie A,"2015/2016",Juventus,79.8,79.84,91,87
Italy Serie A,"2008/2009",Lazio,76.06,,50,
Italy Serie A,"2009/2010",Lazio,75.89,76.06,46,50
Italy Serie A,"2010/2011",Lazio,76.31,75.89,66,46
Italy Serie A,"2011/2012",Lazio,76.94,76.31,59,66
Italy Serie A,"2012/2013",Lazio,78.3,76.94,61,59
Italy Serie A,"2013/2014",Lazio,77.15,78.3,56,61
Italy Serie A,"2014/2015",Lazio,77.16,77.15,66,56
Italy Serie A,"2015/2016",Lazio,76.18,77.16,54,66
Italy Serie A,"2008/2009",Lecce,71.44,,30,
Italy Serie A,"2010/2011",Lecce,71.18,71.44,41,30
Italy Serie A,"2011/2012",Lecce,72.16,71.18,34,41
Italy Serie A,"2009/2010",Livorno,71.67,,29,
Italy Serie A,"2013/2014",Livorno,71.59,71.67,25,29
Italy Serie A,"2008/2009",Milan,79.8,,74,
Italy Serie A,"2009/2010",Milan,79.07,79.8,70,74
Italy Serie A,"2010/2011",Milan,79.26,79.07,82,70
Italy Serie A,"2011/2012",Milan,79.44,79.26,77,82
Italy Serie A,"2012/2013",Milan,78.51,79.44,72,77
Italy Serie A,"2013/2014",Milan,77.75,78.51,57,72
Italy Serie A,"2014/2015",Milan,77.32,77.75,52,57
Italy Serie A,"2015/2016",Milan,76.75,77.32,57,52
Italy Serie A,"2008/2009",Napoli,75.2,,46,
Italy Serie A,"2009/2010",Napoli,76.73,75.2,59,46
Italy Serie A,"2010/2011",Napoli,77.24,76.73,70,59
Italy Serie A,"2011/2012",Napoli,78.49,77.24,60,70
Italy Serie A,"2012/2013",Napoli,78.51,78.49,78,60
Italy Serie A,"2013/2014",Napoli,77.71,78.51,78,78
Italy Serie A,"2014/2015",Napoli,76.67,77.71,63,78
Italy Serie A,"2015/2016",Napoli,78.25,76.67,82,63
Italy Serie A,"2011/2012",Novara,71.29,,29,
Italy Serie A,"2008/2009",Palermo,75.29,,57,
Italy Serie A,"2009/2010",Palermo,75.92,75.29,65,57
Italy Serie A,"2010/2011",Palermo,75.79,75.92,56,65
Italy Serie A,"2011/2012",Palermo,75.1,75.79,43,56
Italy Serie A,"2012/2013",Palermo,73.78,75.1,32,43
Italy Serie A,"2014/2015",Palermo,72.41,73.78,49,32
Italy Serie A,"2015/2016",Palermo,72.59,72.41,39,49
Italy Serie A,"2009/2010",Parma,74.19,,52,
Italy Serie A,"2010/2011",Parma,74.57,74.19,46,52
Italy Serie A,"2011/2012",Parma,74.88,74.57,54,46
Italy Serie A,"2012/2013",Parma,74.69,74.88,49,54
Italy Serie A,"2013/2014",Parma,75.48,74.69,58,49
Italy Serie A,"2014/2015",Parma,72.57,75.48,26,58
Italy Serie A,"2012/2013",Pescara,71.08,,22,
Italy Serie A,"2008/2009",Reggio Calabria,71.8,,31,
Italy Serie A,"2008/2009",Roma,79.18,,63,
Italy Serie A,"2009/2010",Roma,78.68,79.18,80,63
Italy Serie A,"2010/2011",Roma,77.99,78.68,63,80
Italy Serie A,"2011/2012",Roma,77.01,77.99,56,63
Italy Serie A,"2012/2013",Roma,76.64,77.01,62,56
Italy Serie A,"2013/2014",Roma,78.37,76.64,85,62
Italy Serie A,"2014/2015",Roma,78.03,78.37,70,85
Italy Serie A,"2015/2016",Roma,77.58,78.03,80,70
Italy Serie A,"2008/2009",Sampdoria,76.23,,46,
Italy Serie A,"2009/2010",Sampdoria,76.31,76.23,67,46
Italy Serie A,"2010/2011",Sampdoria,74.98,76.31,36,67
Italy Serie A,"2012/2013",Sampdoria,73.98,74.98,43,36
Italy Serie A,"2013/2014",Sampdoria,74.05,73.98,45,43
Italy Serie A,"2014/2015",Sampdoria,74.29,74.05,56,45
Italy Serie A,"2015/2016",Sampdoria,74.68,74.29,40,56
Italy Serie A,"2013/2014",Sassuolo,71.83,,34,
Italy Serie A,"2014/2015",Sassuolo,73.43,71.83,49,34
Italy Serie A,"2015/2016",Sassuolo,73.65,73.43,61,49
Italy Serie A,"2008/2009",Siena,73.65,,44,
